slug,name_vi,name_en,category_slug,prep_state,source_ref,kcal_100g,protein_100g,carbs_100g,fat_100g,is_common,default_for_ai,is_staple_ai,internal_issues,severity,ext_source,matched_description,ref_kcal,ref_protein,delta_kcal_pct,ext_severity,ext_error
ca-chua,Cà chua,Tomato,trai-cay-rau-cu,raw,usda-vn-table,18,0.9,3.9,0.2,True,True,True,,OK,,,,,,,
ca-hoi-atlantic-song,Cá hồi Atlantic (sống),Atlantic salmon raw,thit-hai-san,raw,usda:173686,208,20.0,0,13.0,True,True,True,,OK,,,,,,,
ca-ro-phi-song,Cá rô phi (sống),Tilapia raw,thit-hai-san,raw,usda-vn-table,96,20.1,0,1.7,True,True,True,,OK,,,,,,,
cai-thao,Cải thảo,Napa cabbage,trai-cay-rau-cu,raw,usda-vn-table,16,1.2,3.2,0.2,True,True,True,,OK,,,,,,,
chuoi,Chuối tiêu,Banana,trai-cay-rau-cu,raw,usda-vn-table,89,1.1,22.8,0.3,True,True,True,,OK,,,,,,,
dua-leo,Dưa leo,Cucumber,trai-cay-rau-cu,raw,usda-vn-table,15,0.7,3.6,0.1,True,True,True,,OK,,,,,,,
dui-ga-khong-da-song,Đùi gà không da (sống),Chicken thigh skinless raw,thit-hai-san,raw,usda:171079,121,19.7,0,4.1,True,True,True,,OK,,,,,,,
tao,Táo,Apple,trai-cay-rau-cu,raw,usda-vn-table,52,0.3,13.8,0.2,True,True,True,,OK,,,,,,,
thit-bo-than-song,Thịt bò thăn (sống),Beef tenderloin raw,thit-hai-san,raw,usda-vn-table,150,21.0,0,7.0,True,True,True,,OK,,,,,,,
thit-lon-than-nac-song,Thịt lợn thăn nạc (sống),Pork tenderloin raw,thit-hai-san,raw,usda-vn-table,120,20.5,0,3.4,True,True,True,,OK,,,,,,,
tom-the-song,Tôm thẻ (sống),White shrimp raw,thit-hai-san,raw,usda-vn-table,85,20.0,0.2,0.5,True,True,True,,OK,,,,,,,
trung-ga-ca-qua-song,Trứng gà cả quả (sống),Whole egg raw,trung-sua,raw,usda:171287,143,12.6,0.7,9.5,True,True,True,,OK,,,,,,,
uc-ga-khong-da-song,Ức gà không da (sống),Chicken breast skinless raw,thit-hai-san,raw,usda:171077,110,23.1,0,1.2,True,True,True,,OK,,,,,,,
bach-tuoc-song,Bạch tuộc (sống),Octopus raw,thit-hai-san,raw,usda-vn-table,82,15.0,2.2,1.0,False,False,False,,OK,,,,,,,
bi-ngoi,Bí ngòi,Zucchini,trai-cay-rau-cu,raw,usda-vn-table,17,1.2,3.1,0.3,True,True,False,,OK,,,,,,,
bo,Bơ,Avocado,trai-cay-rau-cu,raw,usda-vn-table,160,2.0,8.5,14.7,True,True,False,,OK,,,,,,,
buoi,Bưởi,Pomelo,trai-cay-rau-cu,raw,usda-vn-table,38,0.8,9.6,0.04,True,True,False,,OK,,,,,,,
ca-basa-ca-tra-fillet-song,Cá basa / cá tra fillet (sống),Basa fillet raw,thit-hai-san,raw,vdd-vn,105,15.0,0,4.5,True,True,False,,OK,,,,,,,
ca-bong,Cá bống,Goby fish,thit-hai-san,raw,usda-vn-table,90,18.0,0,1.5,False,False,False,,OK,,,,,,,
ca-chep-song,Cá chép (sống),Carp raw,thit-hai-san,raw,usda-vn-table,127,18.0,0,5.6,False,False,False,,OK,,,,,,,
ca-com,Cá cơm,Anchovy,thit-hai-san,raw,usda-vn-table,131,20.0,0,4.8,True,True,False,,OK,,,,,,,
ca-dieu-hong-song,Cá diêu hồng (sống),Red tilapia raw,thit-hai-san,raw,vdd-vn,96,20.0,0,1.7,True,True,False,,OK,,,,,,,
ca-hoi-sockeye,Cá hồi sockeye,Sockeye salmon,thit-hai-san,raw,usda-vn-table,168,22.0,0,8.6,False,False,False,,OK,,,,,,,
ca-keo,Cá kèo,Mudskipper,thit-hai-san,raw,usda-vn-table,110,17.0,0,4.5,False,False,False,,OK,,,,,,,
ca-kiem,Cá kiếm,Swordfish,thit-hai-san,raw,usda-vn-table,144,19.7,0,6.7,False,False,False,,OK,,,,,,,
ca-loc-ca-qua-song,Cá lóc / cá quả (sống),Snakehead raw,thit-hai-san,raw,vdd-vn,90,18.0,0,1.5,True,True,False,,OK,,,,,,,
ca-moi-song,Cá mòi (sống),Sardine raw,thit-hai-san,raw,usda-vn-table,208,25.0,0,11.0,False,False,False,,OK,,,,,,,
ca-mu,Cá mú,Grouper,thit-hai-san,raw,usda-vn-table,92,19.4,0,1.0,False,False,False,,OK,,,,,,,
ca-ngu-tuoi-song,Cá ngừ tươi (sống),Fresh tuna raw,thit-hai-san,raw,usda-vn-table,110,24.0,0,1.0,True,True,False,,OK,,,,,,,
ca-nuc-song,Cá nục (sống),Round scad raw,thit-hai-san,raw,vdd-vn,110,20.0,0,2.5,True,True,False,,OK,,,,,,,
ca-rot-song,Cà rốt sống,Carrot raw,trai-cay-rau-cu,raw,usda-vn-table,41,0.9,9.6,0.2,True,True,False,,OK,,,,,,,
ca-thu-song,Cá thu (sống),Mackerel raw,thit-hai-san,raw,usda-vn-table,205,19.0,0,14.0,False,False,False,,OK,,,,,,,
ca-tre,Cá trê,Catfish,thit-hai-san,raw,usda-vn-table,119,16.0,0,5.5,False,False,False,,OK,,,,,,,
ca-tuyet,Cá tuyết,Cod,thit-hai-san,raw,usda-vn-table,82,18.0,0,0.7,False,False,False,,OK,,,,,,,
cai-be-xanh,Cải bẹ xanh,Mustard greens,trai-cay-rau-cu,raw,usda-vn-table,27,2.9,4.7,0.4,True,True,False,,OK,,,,,,,
cai-cuc,Cải cúc,Garland chrysanthemum,trai-cay-rau-cu,raw,usda-vn-table,24,2.3,3.5,0.4,False,False,False,,OK,,,,,,,
cai-kale,Cải kale,Kale,trai-cay-rau-cu,raw,usda-vn-table,35,2.9,4.4,1.5,False,False,False,,OK,,,,,,,
cai-xoong,Cải xoong,Watercress,trai-cay-rau-cu,raw,usda-vn-table,11,2.3,1.3,0.1,False,False,False,,OK,,,,,,,
cam,Cam,Orange,trai-cay-rau-cu,raw,usda-vn-table,47,0.9,11.8,0.1,True,True,False,,OK,,,,,,,
chanh-day,Chanh dây,Passion fruit,trai-cay-rau-cu,raw,usda-vn-table,97,2.2,23.4,0.7,False,False,False,,OK,,,,,,,
cherry,Cherry,Cherry,trai-cay-rau-cu,raw,usda-vn-table,63,1.1,16.0,0.2,False,False,False,,OK,,,,,,,
chom-chom,Chôm chôm,Rambutan,trai-cay-rau-cu,raw,usda-vn-table,82,0.9,20.9,0.2,False,False,False,,OK,,,,,,,
chuoi-su,Chuối sứ,Plantain banana,trai-cay-rau-cu,raw,usda-vn-table,128,1.3,32.0,0.4,True,True,False,,OK,,,,,,,
coc,Cóc,Ambarella,trai-cay-rau-cu,raw,usda-vn-table,46,0.9,11.0,0.3,False,False,False,,OK,,,,,,,
